numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
260,0.067,-1.035,0.025,2.655,5.135,-0.816
261,0.060,-1.027,0.032,2.914,4.425,0.587
262,0.058,-1.003,0.047,-1.167,4.723,-0.702
263,0.060,-1.012,0.032,2.419,4.654,-0.122
264,0.056,-1.007,0.042,1.961,4.471,0.473
265,0.048,-1.017,0.033,5.264,5.295,1.999
266,0.060,-1.001,0.044,1.396,6.096,-0.999
267,0.053,-1.018,0.036,1.503,3.838,-0.191
268,0.055,-1.016,0.040,-0.443,6.027,-4.921
269,0.055,-1.026,0.022,1.678,5.798,1.144
270,0.061,-1.008,0.050,4.005,3.784,5.951
271,0.018,-1.009,0.051,-0.298,9.048,-3.319
272,0.017,-1.019,0.052,8.446,5.013,5.409
273,0.020,-1.034,0.045,13.588,-1.671,0.954
274,0.035,-1.015,0.061,5.592,4.242,-3.326
275,0.034,-0.993,0.074,6.630,3.494,1.076
276,0.029,-1.002,0.089,16.472,6.180,4.654
277,0.012,-1.041,0.127,55.969,9.125,7.805
278,-0.023,-1.008,0.261,70.480,13.496,29.999
279,0.011,-1.037,0.353,93.353,26.581,22.995
280,-0.127,-0.898,0.540,140.114,11.444,77.751
281,-0.277,-0.459,0.792,101.212,-3.845,31.586
282,-0.215,-0.507,0.948,118.652,12.001,36.896
283,-0.281,-0.316,0.925,197.784,8.377,44.128
284,-0.344,0.186,1.026,111.847,4.250,23.643
285,-0.316,0.313,0.965,112.679,-30.968,7.187
286,-0.284,0.423,0.901,84.023,7.484,25.711
287,-0.274,0.575,0.948,109.169,11.444,21.309
288,-0.106,0.762,0.818,60.898,-2.815,3.738
289,-0.067,0.748,0.558,89.470,-3.304,4.913
290,-0.107,0.865,0.427,85.785,0.443,0.229
291,-0.132,0.917,0.426,45.341,3.822,7.126
292,-0.077,0.904,0.339,59.921,8.331,11.574
293,-0.095,0.943,0.314,-7.042,-4.356,1.053
294,-0.073,0.956,0.302,2.960,9.224,3.914
295,-0.064,0.957,0.292,-4.486,3.624,0.526
296,-0.073,0.942,0.303,3.334,6.775,0.641
297,-0.074,0.947,0.314,-12.901,2.518,-0.404
298,-0.055,0.951,0.291,-9.140,5.531,-2.907
299,-0.056,0.937,0.315,-19.562,-0.229,-4.768
300,-0.095,0.947,0.341,4.761,8.766,-5.554
301,-0.030,0.937,0.296,-1.900,9.651,-3.288
302,-0.066,0.927,0.293,4.341,7.828,8.682
303,0.011,0.981,0.240,21.446,-9.048,35.538
304,0.018,0.963,0.287,29.060,-12.817,6.256
305,0.057,1.041,0.331,12.276,8.202,21.172
306,0.061,0.944,0.285,-23.842,4.181,1.945
307,0.073,0.833,0.234,-1.198,-21.332,34.828
308,0.200,0.858,0.314,-5.585,0.633,15.419
309,0.240,0.979,0.372,-40.901,11.215,21.736
310,0.239,0.968,0.336,-19.341,26.360,6.607
311,0.179,0.891,0.451,-54.039,32.661,-0.275
312,0.200,0.877,0.519,-82.329,19.829,2.434
313,0.137,0.763,0.650,13.580,17.227,-12.123
314,0.122,0.718,0.692,-47.577,12.383,-17.387
315,0.182,0.721,0.762,-32.715,4.509,0.443
316,0.160,0.707,0.698,-23.491,3.555,1.381
317,0.194,0.682,0.737,19.455,9.026,36.705
318,0.154,0.677,0.781,67.787,11.459,18.501
319,0.192,0.819,0.665,77.278,16.914,17.441
320,0.208,0.771,0.682,-53.062,17.380,1.694
321,0.197,0.758,0.733,-45.570,7.668,-8.980
322,0.170,0.682,0.799,-72.662,12.794,-16.541
323,0.141,0.556,0.872,-76.653,30.739,-33.073
324,0.151,0.364,0.918,-151.253,37.880,-41.595
325,0.078,0.124,1.033,-228.409,29.129,-54.230
326,0.132,-0.158,0.977,-57.457,15.129,-1.350
327,-0.083,-0.253,1.098,-115.318,10.780,-17.052
328,-0.040,-0.379,1.044,-61.317,3.563,-10.590
329,0.010,-0.446,0.955,-51.666,-6.409,23.827
330,0.019,-0.683,0.781,-128.609,-10.216,-22.957
331,0.072,-0.755,0.761,-47.371,0.824,-1.122
332,0.036,-0.837,0.686,-21.286,10.262,-1.717
333,0.062,-0.841,0.625,-18.288,7.111,-4.906
334,0.093,-0.785,0.667,48.485,5.127,13.763
335,0.097,-0.687,0.679,72.868,9.712,18.135
336,-0.022,-0.719,0.882,133.751,2.052,7.111
337,0.025,-0.448,0.979,96.138,4.410,26.489
338,0.072,-0.240,1.015,42.252,-1.213,28.496
339,0.029,-0.337,1.078,-4.913,-0.488,-11.070
340,0.074,-0.329,1.033,39.345,2.052,-17.998
341,0.062,-0.269,0.948,-16.975,17.044,4.036
342,0.038,-0.325,1.019,19.676,5.577,5.371
343,-0.007,-0.272,1.020,66.795,17.769,49.149
344,0.007,-0.232,1.010,57.472,-0.488,15.610
345,0.013,-0.152,1.098,19.989,-0.740,5.638
346,0.055,-0.091,1.059,48.790,-43.297,7.858
347,0.096,-0.008,0.993,-16.251,-2.678,-13.596
348,0.129,-0.037,1.020,-4.570,-27.695,-10.948
349,0.285,0.055,1.132,-48.111,16.930,11.925
350,0.311,-0.256,1.165,75.928,-45.860,-0.298
351,0.237,0.045,0.820,79.590,-98.518,-24.170
352,0.469,-0.042,1.022,20.020,-27.145,23.987
353,0.488,0.030,0.961,73.044,-49.385,-2.876
354,0.517,0.167,0.904,3.242,-25.276,-31.509
355,0.550,0.112,0.949,-27.435,2.007,-13.161
356,0.531,0.007,1.012,-152.924,53.757,-42.267
357,0.538,-0.034,0.760,-7.294,37.651,-24.086
358,0.603,-0.022,0.865,4.471,6.035,-4.349
359,0.577,-0.016,0.877,1.030,2.304,-1.961
360,0.577,-0.019,0.893,1.015,4.395,-1.831
361,0.576,-0.016,0.885,1.740,5.028,-1.122
362,0.577,-0.016,0.885,1.320,5.577,-0.412
363,0.576,-0.008,0.943,1.389,-10.696,-7.782
364,0.569,-0.032,0.905,3.166,5.478,0.076
365,0.575,-0.014,0.901,1.633,6.248,0.046
366,0.577,-0.021,0.882,1.297,7.896,0.107
367,0.584,-0.015,0.884,1.991,6.363,0.595
368,0.585,-0.020,0.872,2.228,7.141,-1.038
